                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.6166,                 2.9823,                 1.7734,                 0.2304,                0.29771,                0.14221,                0.04871,                 2.4654,                 3.1516,                 1.8213,               0.008911,               0.008911,               0.008911
                     36,                 2.5616,                 2.7878,                 1.7178,                0.42785,                0.24427,                0.21612,                0.08484,                 2.2795,                 2.8688,                  1.723,               0.008878,               0.008878,               0.008878
                     37,                 2.5778,                 2.7544,                 1.7436,                0.42025,                0.24427,                0.22023,                0.07954,                 2.3787,                 2.7927,                 1.7399,               0.008845,               0.008845,               0.008845
                     38,                 2.4924,                 2.8289,                 1.7459,                0.34561,                0.25191,                 0.2238,                0.07926,                 2.3906,                 2.7202,                 1.7543,               0.008812,               0.008812,               0.008812
                     39,                 2.5896,                 2.8426,                 1.7739,                0.31195,                0.26718,                0.20517,                0.08092,                 2.4094,                 2.8025,                 1.8071,               0.008779,               0.008779,               0.008779
                     40,                 2.4843,                 2.7422,                 1.7422,                 0.4453,                0.24427,                0.20902,                0.07753,                 2.4198,                 3.2502,                  1.795,               0.008746,               0.008746,               0.008746
                     41,                 2.4579,                  2.718,                  1.688,                0.44894,                0.29771,                0.26706,                0.09288,                 2.3431,                 2.7979,                 1.7306,               0.008713,               0.008713,               0.008713
                     42,                 2.4505,                 2.6912,                 1.6727,                0.26441,                0.20611,                0.18255,                0.07496,                 2.2599,                 2.9716,                 1.7337,                0.00868,                0.00868,                0.00868
                     43,                 2.4478,                 2.6326,                 1.6996,                0.31468,                0.29094,                0.21706,                0.07242,                  2.536,                 3.3759,                 1.8426,               0.008647,               0.008647,               0.008647
                     44,                  2.452,                 2.7241,                 1.7061,                0.35906,                0.27481,                0.25309,                0.09945,                 2.2896,                 2.8832,                 1.7152,               0.008614,               0.008614,               0.008614
                     45,                 2.4475,                 2.6644,                 1.6829,                0.38102,                0.25954,                0.22593,                0.07786,                 2.3167,                 2.7417,                  1.733,               0.008581,               0.008581,               0.008581
                     46,                 2.4015,                 2.6411,                 1.6417,                 0.4096,                0.19084,                0.20452,                0.08094,                 2.3223,                 2.7084,                 1.7136,               0.008548,               0.008548,               0.008548
                     47,                 2.4354,                 2.6915,                 1.6789,                0.40732,                0.19936,                0.24752,                0.09116,                 2.3112,                 2.6576,                 1.7366,               0.008515,               0.008515,               0.008515
                     48,                 2.4104,                 2.6677,                 1.6437,                0.31709,                0.26718,                0.20946,                0.07578,                 2.2462,                 3.1962,                 1.7154,               0.008482,               0.008482,               0.008482
                     49,                 2.4614,                 2.5452,                 1.6653,                0.32362,                0.17557,                0.18372,                0.07083,                 2.4027,                 2.9853,                 1.7263,               0.008449,               0.008449,               0.008449
                     50,                 2.4313,                 2.4873,                 1.6749,                0.39434,                0.25954,                0.25108,                 0.0858,                 2.2482,                 2.6336,                 1.6935,               0.008416,               0.008416,               0.008416
                     51,                 2.4058,                  2.503,                 1.6579,                0.35311,                0.28244,                0.24551,                0.09765,                 2.3683,                 2.9005,                 1.7232,               0.008383,               0.008383,               0.008383
                     52,                 2.4183,                 2.5237,                 1.6906,                0.38609,                0.29771,                0.27485,                0.10682,                 2.1791,                 2.9735,                 1.7467,                0.00835,                0.00835,                0.00835
                     53,                 2.3624,                 2.5195,                 1.6284,                0.39502,                 0.2891,                0.26468,                0.10492,                  2.294,                 2.9242,                 1.7135,               0.008317,               0.008317,               0.008317
                     54,                  2.421,                 2.5135,                 1.6704,                0.36306,                0.19847,                0.17845,                0.05952,                 2.5499,                 3.1654,                 1.7921,               0.008284,               0.008284,               0.008284
                     55,                 2.3656,                 2.5481,                 1.6425,                0.40818,                0.23168,                0.27285,                0.09989,                 2.3297,                 3.2172,                 1.6949,               0.008251,               0.008251,               0.008251
                     56,                  2.333,                 2.4264,                 1.6202,                0.42907,                0.35878,                0.32009,                0.10551,                  2.235,                   2.48,                 1.6554,               0.008218,               0.008218,               0.008218
                     57,                 2.3384,                 2.4181,                  1.657,                0.44234,                0.31298,                0.32575,                0.11824,                 2.2321,                 2.6242,                  1.699,               0.008185,               0.008185,               0.008185
                     58,                 2.4162,                 2.4976,                 1.6708,                0.38328,                0.25954,                0.25102,                0.09595,                  2.198,                 2.6714,                 1.6964,               0.008152,               0.008152,               0.008152
